,Date,Time,Transaction,Item,Weekday
0,10/30/2016,9:58:11,1,Bread,Sunday
1,10/30/2016,10:05:34,2,Scandinavian,Sunday
2,10/30/2016,10:05:34,2,Scandinavian,Sunday
3,10/30/2016,10:07:57,3,Hot chocolate,Sunday
4,10/30/2016,10:07:57,3,Jam,Sunday
5,10/30/2016,10:07:57,3,Cookies,Sunday
6,10/30/2016,10:08:41,4,Muffin,Sunday
7,10/30/2016,10:13:03,5,Coffee,Sunday
8,10/30/2016,10:13:03,5,Pastry,Sunday
9,10/30/2016,10:13:03,5,Bread,Sunday
10,10/30/2016,10:16:55,6,Medialuna,Sunday
11,10/30/2016,10:16:55,6,Pastry,Sunday
12,10/30/2016,10:16:55,6,Muffin,Sunday
13,10/30/2016,10:19:12,7,Medialuna,Sunday
14,10/30/2016,10:19:12,7,Pastry,Sunday
15,10/30/2016,10:19:12,7,Coffee,Sunday
16,10/30/2016,10:19:12,7,Tea,Sunday
17,10/30/2016,10:20:51,8,Pastry,Sunday
18,10/30/2016,10:20:51,8,Bread,Sunday
19,10/30/2016,10:21:59,9,Bread,Sunday
20,10/30/2016,10:21:59,9,Muffin,Sunday
21,10/30/2016,10:25:58,10,Scandinavian,Sunday
22,10/30/2016,10:25:58,10,Medialuna,Sunday
23,10/30/2016,10:27:21,11,Bread,Sunday
24,10/30/2016,10:27:21,11,Medialuna,Sunday
25,10/30/2016,10:27:21,11,Bread,Sunday
27,10/30/2016,10:30:14,12,Jam,Sunday
28,10/30/2016,10:30:14,12,Coffee,Sunday
29,10/30/2016,10:30:14,12,Tartine,Sunday
30,10/30/2016,10:30:14,12,Pastry,Sunday
31,10/30/2016,10:30:14,12,Tea,Sunday
32,10/30/2016,10:31:24,13,Basket,Sunday
33,10/30/2016,10:31:24,13,Bread,Sunday
34,10/30/2016,10:31:24,13,Coffee,Sunday
35,10/30/2016,10:32:46,14,Bread,Sunday
36,10/30/2016,10:32:46,14,Medialuna,Sunday
37,10/30/2016,10:32:46,14,Pastry,Sunday
40,10/30/2016,10:34:36,15,Mineral water,Sunday
41,10/30/2016,10:34:36,15,Scandinavian,Sunday
42,10/30/2016,10:37:08,16,Bread,Sunday
43,10/30/2016,10:37:08,16,Medialuna,Sunday
44,10/30/2016,10:37:08,16,Coffee,Sunday
45,10/30/2016,10:38:04,17,Hot chocolate,Sunday
46,10/30/2016,10:41:56,18,Farm House,Sunday
47,10/30/2016,10:43:08,19,Farm House,Sunday
48,10/30/2016,10:43:08,19,Bread,Sunday
49,10/30/2016,10:45:22,20,Bread,Sunday
50,10/30/2016,10:45:22,20,Medialuna,Sunday
51,10/30/2016,10:49:29,21,Coffee,Sunday
52,10/30/2016,10:49:29,21,Coffee,Sunday
53,10/30/2016,10:49:29,21,Medialuna,Sunday
54,10/30/2016,10:49:29,21,Bread,Sunday
55,10/30/2016,10:52:15,22,Jam,Sunday
56,10/30/2016,10:53:49,23,Scandinavian,Sunday
57,10/30/2016,10:53:49,23,Muffin,Sunday
58,10/30/2016,10:54:33,24,Bread,Sunday
59,10/30/2016,10:55:22,25,Scandinavian,Sunday
60,10/30/2016,10:56:08,26,Fudge,Sunday
61,10/30/2016,11:02:19,27,Scandinavian,Sunday
62,10/30/2016,11:03:24,28,Coffee,Sunday
63,10/30/2016,11:03:24,28,Bread,Sunday
64,10/30/2016,11:05:30,29,Bread,Sunday
65,10/30/2016,11:05:30,29,Jam,Sunday
67,10/30/2016,11:07:19,30,Bread,Sunday
68,10/30/2016,11:12:56,31,Basket,Sunday
69,10/30/2016,11:16:15,32,Scandinavian,Sunday
70,10/30/2016,11:16:15,32,Muffin,Sunday
71,10/30/2016,11:22:49,33,Coffee,Sunday
72,10/30/2016,11:25:45,34,Coffee,Sunday
